ID,1860.0,1865.0,1866.0,1867.0,1868.0,1869.0,1870.0,1871.0,1872.0,1873.0,1874.0,1875.0,1876.0,1877.0,1878.0,1879.0,1880.0,1881.0,1882.0,1883.0,1884.0,1885.0,1886.0,1887.0,1888.0,1889.0,1890.0,1891.0,1892.0,1893.0,1894.0,1895.0,1896.0,1897.0,1898.0,1899.0,1900.0,1901.0,1902.0,1903.0,1904.0,1905.0,1906.0,1907.0,1908.0,1909.0,1910.0,1911.0,1912.0,1913.0,1914.0,1915.0,1916.0,1917.0,1918.0,1919.0,1920.0,,1921.0,,1922.0,1923.0,1924.0,1925.0,1926.0,1927.0,1928.0,1929.0,1930.0,1931.0,1932.0,1933.0,1934.0,1935.0,1936.0,1937.0,1938.0,1939.0,1940.0,1941.0,1942.0,1943.0,1944.0,,1945.0,1946.0,1947.0,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0,1955.0,1956.0,1957.0,1958.0,,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,Unit,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Metric
Sulphuric Acid_Annual Production_FR,,,,125,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,,,900,,,,,,,,,,,,,,1500,,,,1032,,,,,,,,,1272,,… ,458,365,342,153,,277,840,1069,1275,1151,1215,1450,1191,1180,1378,1473,1535,1600,1786,1824,1890,2046,2205,2271,2394,2702,2916,3073,3227,3349,3527,3682,3923,4114,4383,4689,3758,3959,4501,4584,4957,4952,4412,4166,4325,4531,4322,3956,3960,4081,4187,3771,3627,2871,2357,2227,2382,2263,2250,2214,2177,2181,2051,1930,1624,Thousand Metric Tons,Sulphuric Acid,France,FR,National,Mitchell,Annual Production
