ID,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Compressed air energy storage_Cumulative total capacity_CH,Electro-mechanical energy storage,Compressed air energy storage,Switzerland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CH
Compressed air energy storage_Cumulative total capacity_CH,Technology Sub-Type Unknown,Compressed air energy storage,Switzerland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CH
Compressed air energy storage_Cumulative total capacity_CH,Electro-mechanical energy storage,Compressed air energy storage,Switzerland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CH
Compressed air energy storage_Cumulative total capacity_CH,Compressed air energy storage,Compressed air energy storage,Switzerland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CH
Compressed air energy storage_Cumulative total capacity_CH,,Compressed air energy storage,Switzerland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CH
Compressed air energy storage_Cumulative total capacity_CH,4.0,Compressed air energy storage,Switzerland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CH
Compressed air energy storage_Cumulative total capacity_CH,2000.0,Compressed air energy storage,Switzerland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CH
Compressed air energy storage_Cumulative total capacity_CH,500,Compressed air energy storage,Switzerland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CH
Compressed air energy storage_Cumulative total capacity_CH,2000.0,Compressed air energy storage,Switzerland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CH
