ID,1966,1973,1977,1977,1977,1984,2019,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative total capacity_AU,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Pumped hydro storage,Australia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AU
Pumped hydro storage_Cumulative total capacity_AU,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Technology Sub-Type Unknown,Pumped hydro storage,Australia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AU
Pumped hydro storage_Cumulative total capacity_AU,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Pumped hydro storage,Australia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AU
Pumped hydro storage_Cumulative total capacity_AU,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Australia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AU
Pumped hydro storage_Cumulative total capacity_AU,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,,Pumped hydro storage,Australia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AU
Pumped hydro storage_Cumulative total capacity_AU,0.0,0.0,0.0,0.0,0.0,10.0,6.0,Pumped hydro storage,Australia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AU
Pumped hydro storage_Cumulative total capacity_AU,,,,,,5000000.0,1500000.0,Pumped hydro storage,Australia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AU
Pumped hydro storage_Cumulative total capacity_AU,1700,1500000,80000,160000,300000,500000,250000,Pumped hydro storage,Australia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AU
Pumped hydro storage_Cumulative total capacity_AU,0.0,0.0,0.0,0.0,0.0,5000000.0,1500000.0,Pumped hydro storage,Australia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AU
