ID,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel_Cumulative total capacity_IE,Electro-mechanical energy storage,Electro-mechanical energy storage,Flywheel,Ireland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IE
Flywheel_Cumulative total capacity_IE,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Flywheel,Ireland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IE
Flywheel_Cumulative total capacity_IE,Electro-mechanical energy storage,Electro-mechanical energy storage,Flywheel,Ireland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IE
Flywheel_Cumulative total capacity_IE,Flywheel,Flywheel,Flywheel,Ireland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IE
Flywheel_Cumulative total capacity_IE,,,Flywheel,Ireland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IE
Flywheel_Cumulative total capacity_IE,2.0,0.8,Flywheel,Ireland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IE
Flywheel_Cumulative total capacity_IE,4000.0,256.0,Flywheel,Ireland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IE
Flywheel_Cumulative total capacity_IE,2000,320,Flywheel,Ireland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IE
Flywheel_Cumulative total capacity_IE,4000.0,256.0,Flywheel,Ireland,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IE
