ID,2006,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lead-acid battery_Cumulative total capacity_AQ,Electro-chemical battery and chemical storage,Lead-acid battery,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Lead-acid battery_Cumulative total capacity_AQ,Advanced lead-acid battery,Lead-acid battery,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Lead-acid battery_Cumulative total capacity_AQ,Electro-chemical battery and chemical storage,Lead-acid battery,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Lead-acid battery_Cumulative total capacity_AQ,Lead-acid battery,Lead-acid battery,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Lead-acid battery_Cumulative total capacity_AQ,Advanced lead-acid battery,Lead-acid battery,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Lead-acid battery_Cumulative total capacity_AQ,0.8,Lead-acid battery,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Lead-acid battery_Cumulative total capacity_AQ,400.0,Lead-acid battery,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Lead-acid battery_Cumulative total capacity_AQ,500,Lead-acid battery,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Lead-acid battery_Cumulative total capacity_AQ,400.0,Lead-acid battery,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
