ID,1972,1983,1988,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative total capacity_UA,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Pumped hydro storage,Ukraine,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,UA
Pumped hydro storage_Cumulative total capacity_UA,Open-loop PHS,Open-loop PHS,Open-loop PHS,Pumped hydro storage,Ukraine,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,UA
Pumped hydro storage_Cumulative total capacity_UA,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Pumped hydro storage,Ukraine,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,UA
Pumped hydro storage_Cumulative total capacity_UA,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Ukraine,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,UA
Pumped hydro storage_Cumulative total capacity_UA,Open-loop PHS,Open-loop PHS,Open-loop PHS,Pumped hydro storage,Ukraine,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,UA
Pumped hydro storage_Cumulative total capacity_UA,0.0,0.0,0.0,Pumped hydro storage,Ukraine,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,UA
Pumped hydro storage_Cumulative total capacity_UA,,,,Pumped hydro storage,Ukraine,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,UA
Pumped hydro storage_Cumulative total capacity_UA,603000,302000,2268000,Pumped hydro storage,Ukraine,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,UA
Pumped hydro storage_Cumulative total capacity_UA,0.0,0.0,0.0,Pumped hydro storage,Ukraine,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,UA
