ID,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative total capacity_IL,Electro-mechanical energy storage,Pumped hydro storage,Israel,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IL
Pumped hydro storage_Cumulative total capacity_IL,Open-loop PHS,Pumped hydro storage,Israel,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IL
Pumped hydro storage_Cumulative total capacity_IL,Electro-mechanical energy storage,Pumped hydro storage,Israel,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IL
Pumped hydro storage_Cumulative total capacity_IL,Pumped hydro storage,Pumped hydro storage,Israel,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IL
Pumped hydro storage_Cumulative total capacity_IL,Open-loop PHS,Pumped hydro storage,Israel,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IL
Pumped hydro storage_Cumulative total capacity_IL,0.0,Pumped hydro storage,Israel,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IL
Pumped hydro storage_Cumulative total capacity_IL,,Pumped hydro storage,Israel,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IL
Pumped hydro storage_Cumulative total capacity_IL,300000,Pumped hydro storage,Israel,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IL
Pumped hydro storage_Cumulative total capacity_IL,0.0,Pumped hydro storage,Israel,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IL
