ID,2016,2016,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery_Cumulative total capacity_CA,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Flow battery,Canada,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CA
Flow battery_Cumulative total capacity_CA,Zinc-iron flow battery,Vanadium redox flow battery,Vanadium redox flow battery,Flow battery,Canada,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CA
Flow battery_Cumulative total capacity_CA,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Flow battery,Canada,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CA
Flow battery_Cumulative total capacity_CA,Flow battery,Flow battery,Flow battery,Flow battery,Canada,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CA
Flow battery_Cumulative total capacity_CA,Zinc-iron flow battery,Vanadium redox flow battery,Vanadium redox flow battery,Flow battery,Canada,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CA
Flow battery_Cumulative total capacity_CA,3.0,4.0,4.0,Flow battery,Canada,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CA
Flow battery_Cumulative total capacity_CA,6000.0,8000.0,20000.0,Flow battery,Canada,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CA
Flow battery_Cumulative total capacity_CA,2000,2000,5000,Flow battery,Canada,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CA
Flow battery_Cumulative total capacity_CA,6000.0,8000.0,20000.0,Flow battery,Canada,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CA
