ID,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Technology Mid-Type Unknown_Cumulative total capacity_IN,Electro-chemical battery and chemical storage,Technology Mid-Type Unknown,India,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IN
Technology Mid-Type Unknown_Cumulative total capacity_IN,Technology Sub-Type Unknown,Technology Mid-Type Unknown,India,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IN
Technology Mid-Type Unknown_Cumulative total capacity_IN,Electro-chemical battery and chemical storage,Technology Mid-Type Unknown,India,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IN
Technology Mid-Type Unknown_Cumulative total capacity_IN,,Technology Mid-Type Unknown,India,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IN
Technology Mid-Type Unknown_Cumulative total capacity_IN,,Technology Mid-Type Unknown,India,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IN
Technology Mid-Type Unknown_Cumulative total capacity_IN,4.0,Technology Mid-Type Unknown,India,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IN
Technology Mid-Type Unknown_Cumulative total capacity_IN,400000.0,Technology Mid-Type Unknown,India,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IN
Technology Mid-Type Unknown_Cumulative total capacity_IN,100000,Technology Mid-Type Unknown,India,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IN
Technology Mid-Type Unknown_Cumulative total capacity_IN,400000.0,Technology Mid-Type Unknown,India,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IN
