ID,2011,2012,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sodium-based battery_Cumulative total capacity_IT,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Sodium-based battery,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Sodium-based battery_Cumulative total capacity_IT,Sodium-nickel-chloride battery,Sodium-nickel-chloride battery,Sodium-nickel-chloride battery,Sodium-nickel-chloride battery,Sodium-sulfur battery,Sodium-sulfur battery,Sodium-nickel-chloride battery,Sodium-nickel-chloride battery,Sodium-nickel-chloride battery,Technology Sub-Type Unknown,Sodium-sulfur battery,Sodium-nickel-chloride battery,Sodium-based battery,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Sodium-based battery_Cumulative total capacity_IT,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Sodium-based battery,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Sodium-based battery_Cumulative total capacity_IT,Sodium-based battery,Sodium-based battery,Sodium-based battery,Sodium-based battery,Sodium-based battery,Sodium-based battery,Sodium-based battery,Sodium-based battery,Sodium-based battery,Sodium-based battery,Sodium-based battery,Sodium-based battery,Sodium-based battery,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Sodium-based battery_Cumulative total capacity_IT,Sodium-nickel-chloride battery,Sodium-nickel-chloride battery,Sodium-nickel-chloride battery,Sodium-nickel-chloride battery,Sodium-sulfur battery,Sodium-sulfur battery,Sodium-nickel-chloride battery,Sodium-nickel-chloride battery,Sodium-nickel-chloride battery,,Sodium-sulfur battery,Sodium-nickel-chloride battery,Sodium-based battery,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Sodium-based battery_Cumulative total capacity_IT,1.27,0.0,3.45,2.0,8.0,8.0,3.0,1.0,2.37,3.0,8.0,3.45,Sodium-based battery,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Sodium-based battery_Cumulative total capacity_IT,228.6,,4140.0,2000.0,96000.0,96000.0,105.0,20.0,149.31,300.0,86400.0,4140.0,Sodium-based battery,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Sodium-based battery_Cumulative total capacity_IT,180,4000,1200,1000,12000,12000,35,20,63,100,10800,1200,Sodium-based battery,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Sodium-based battery_Cumulative total capacity_IT,228.6,0.0,4140.0,2000.0,96000.0,96000.0,105.0,20.0,149.31,300.0,86400.0,4140.0,Sodium-based battery,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
