ID,2007,2009,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Heat thermal storage_Cumulative total capacity_ES,Thermal energy storage,Thermal energy storage,Heat thermal storage,Spain,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,ES
Heat thermal storage_Cumulative total capacity_ES,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Heat thermal storage,Spain,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,ES
Heat thermal storage_Cumulative total capacity_ES,Thermal energy storage,Thermal energy storage,Heat thermal storage,Spain,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,ES
Heat thermal storage_Cumulative total capacity_ES,Heat thermal storage,Heat thermal storage,Heat thermal storage,Spain,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,ES
Heat thermal storage_Cumulative total capacity_ES,,,Heat thermal storage,Spain,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,ES
Heat thermal storage_Cumulative total capacity_ES,0.5,1.0,Heat thermal storage,Spain,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,ES
Heat thermal storage_Cumulative total capacity_ES,5500.0,20000.0,Heat thermal storage,Spain,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,ES
Heat thermal storage_Cumulative total capacity_ES,11000,20000,Heat thermal storage,Spain,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,ES
Heat thermal storage_Cumulative total capacity_ES,5500.0,20000.0,Heat thermal storage,Spain,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,ES
