ID,2009,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel_Cumulative total capacity_AQ,Electro-mechanical energy storage,Flywheel,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Flywheel_Cumulative total capacity_AQ,Technology Sub-Type Unknown,Flywheel,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Flywheel_Cumulative total capacity_AQ,Electro-mechanical energy storage,Flywheel,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Flywheel_Cumulative total capacity_AQ,Flywheel,Flywheel,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Flywheel_Cumulative total capacity_AQ,,Flywheel,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Flywheel_Cumulative total capacity_AQ,0.0,Flywheel,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Flywheel_Cumulative total capacity_AQ,,Flywheel,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Flywheel_Cumulative total capacity_AQ,500,Flywheel,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
Flywheel_Cumulative total capacity_AQ,0.0,Flywheel,Antarctica,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,AQ
