ID,1968,1973,1991,1992,1997,1997,1997,2000,2000,2000,2000,2002,2005,2005,2006,2006,2008,2009,2009,2009,2009,2010,2010,2011,2011,2011,2011,2012,2013,2013,2014,2015,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative total capacity_CN,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Pumped hydro storage,China,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CN
Pumped hydro storage_Cumulative total capacity_CN,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Pumped hydro storage,China,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CN
Pumped hydro storage_Cumulative total capacity_CN,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Pumped hydro storage,China,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CN
Pumped hydro storage_Cumulative total capacity_CN,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,China,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CN
Pumped hydro storage_Cumulative total capacity_CN,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Pumped hydro storage,China,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CN
Pumped hydro storage_Cumulative total capacity_CN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pumped hydro storage,China,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CN
Pumped hydro storage_Cumulative total capacity_CN,,,,,,,,,,,,,,,,,,11520000.0,,,,,,,,,,,,,,,,Pumped hydro storage,China,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CN
Pumped hydro storage_Cumulative total capacity_CN,41000,22000,420000,2000,80000,800000,90000,1836000,70000,2400000,80000,102000,1800000,120000,1000000,1224000,1000000,1280000,1200000,1200000,1000000,1800000,1200000,1500000,1200000,2448000,1000000,1200000,160000,1200000,1224000,1200000,1500000,Pumped hydro storage,China,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CN
Pumped hydro storage_Cumulative total capacity_CN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pumped hydro storage,China,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,CN
