ID,1949,1960,1964,1965,1966,1968,1971,1973,1973,1975,1978,1980,1981,1985,1991,1991,2005,2011,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative total capacity_IT,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Pumped hydro storage,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Pumped hydro storage_Cumulative total capacity_IT,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Pumped hydro storage,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Pumped hydro storage_Cumulative total capacity_IT,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Electro-mechanical energy storage,Pumped hydro storage,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Pumped hydro storage_Cumulative total capacity_IT,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Pumped hydro storage,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Pumped hydro storage_Cumulative total capacity_IT,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Open-loop PHS,Pumped hydro storage,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Pumped hydro storage_Cumulative total capacity_IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pumped hydro storage,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Pumped hydro storage_Cumulative total capacity_IT,,,,,,,,,,,,,,,,,,,Pumped hydro storage,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Pumped hydro storage_Cumulative total capacity_IT,156000,80000,137200,36500,115000,42000,210000,1000000,568000,330000,240000,134000,1184000,1000000,1000000,600000,158000,572000,Pumped hydro storage,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
Pumped hydro storage_Cumulative total capacity_IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pumped hydro storage,Italy,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,IT
