ID,2012,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow battery_Cumulative total capacity_NZ,Electro-chemical battery and chemical storage,Flow battery,New Zealand,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,NZ
Flow battery_Cumulative total capacity_NZ,Zinc-bromine flow battery,Flow battery,New Zealand,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,NZ
Flow battery_Cumulative total capacity_NZ,Electro-chemical battery and chemical storage,Flow battery,New Zealand,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,NZ
Flow battery_Cumulative total capacity_NZ,Flow battery,Flow battery,New Zealand,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,NZ
Flow battery_Cumulative total capacity_NZ,Zinc-bromine flow battery,Flow battery,New Zealand,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,NZ
Flow battery_Cumulative total capacity_NZ,2.67,Flow battery,New Zealand,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,NZ
Flow battery_Cumulative total capacity_NZ,8.01,Flow battery,New Zealand,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,NZ
Flow battery_Cumulative total capacity_NZ,3,Flow battery,New Zealand,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,NZ
Flow battery_Cumulative total capacity_NZ,8.01,Flow battery,New Zealand,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,NZ
