ID,1990,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative total capacity_RO,Electro-mechanical energy storage,Pumped hydro storage,Romania,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,RO
Pumped hydro storage_Cumulative total capacity_RO,Open-loop PHS,Pumped hydro storage,Romania,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,RO
Pumped hydro storage_Cumulative total capacity_RO,Electro-mechanical energy storage,Pumped hydro storage,Romania,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,RO
Pumped hydro storage_Cumulative total capacity_RO,Pumped hydro storage,Pumped hydro storage,Romania,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,RO
Pumped hydro storage_Cumulative total capacity_RO,Open-loop PHS,Pumped hydro storage,Romania,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,RO
Pumped hydro storage_Cumulative total capacity_RO,0.0,Pumped hydro storage,Romania,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,RO
Pumped hydro storage_Cumulative total capacity_RO,,Pumped hydro storage,Romania,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,RO
Pumped hydro storage_Cumulative total capacity_RO,53000,Pumped hydro storage,Romania,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,RO
Pumped hydro storage_Cumulative total capacity_RO,0.0,Pumped hydro storage,Romania,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,RO
