ID,2010,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative total capacity_SI,Electro-mechanical energy storage,Pumped hydro storage,Slovenia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,SI
Pumped hydro storage_Cumulative total capacity_SI,Open-loop PHS,Pumped hydro storage,Slovenia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,SI
Pumped hydro storage_Cumulative total capacity_SI,Electro-mechanical energy storage,Pumped hydro storage,Slovenia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,SI
Pumped hydro storage_Cumulative total capacity_SI,Pumped hydro storage,Pumped hydro storage,Slovenia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,SI
Pumped hydro storage_Cumulative total capacity_SI,Open-loop PHS,Pumped hydro storage,Slovenia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,SI
Pumped hydro storage_Cumulative total capacity_SI,0.0,Pumped hydro storage,Slovenia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,SI
Pumped hydro storage_Cumulative total capacity_SI,,Pumped hydro storage,Slovenia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,SI
Pumped hydro storage_Cumulative total capacity_SI,185000,Pumped hydro storage,Slovenia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,SI
Pumped hydro storage_Cumulative total capacity_SI,0.0,Pumped hydro storage,Slovenia,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,SI
