ID,2007,2011,2011,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Technology Mid-Type Unknown_Cumulative total capacity_US,Thermal energy storage,Electro-mechanical energy storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Technology Mid-Type Unknown,United States,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,US
Technology Mid-Type Unknown_Cumulative total capacity_US,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Sub-Type Unknown,Technology Mid-Type Unknown,United States,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,US
Technology Mid-Type Unknown_Cumulative total capacity_US,Thermal energy storage,Electro-mechanical energy storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Electro-chemical battery and chemical storage,Technology Mid-Type Unknown,United States,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,US
Technology Mid-Type Unknown_Cumulative total capacity_US,,,,,,,,,,,,,,,,,,,,,,,,,Technology Mid-Type Unknown,United States,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,US
Technology Mid-Type Unknown_Cumulative total capacity_US,,,,,,,,,,,,,,,,,,,,,,,,,Technology Mid-Type Unknown,United States,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,US
Technology Mid-Type Unknown_Cumulative total capacity_US,0.5,0.0,0.0,0.0,4.0,2.0,5.0,1.0,0.0,1.67,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,4.0,0.5,1.0,2.0,1.0,0.0,Technology Mid-Type Unknown,United States,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,US
Technology Mid-Type Unknown_Cumulative total capacity_US,32000.0,,,,2000.0,258.0,25000.0,512.0,,10020.0,78.0,1966.0,300.0,,,,,,6000.0,8100.0,500.0,500.0,2600.0,,Technology Mid-Type Unknown,United States,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,US
Technology Mid-Type Unknown_Cumulative total capacity_US,64000,430,1500,85000,500,129,5000,512,2000,6000,39,983,200,0,0,10000,2800,0,1500,16200,500,250,2600,50000,Technology Mid-Type Unknown,United States,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,US
Technology Mid-Type Unknown_Cumulative total capacity_US,32000.0,0.0,0.0,0.0,2000.0,258.0,25000.0,512.0,0.0,10020.0,78.0,1966.0,300.0,0.0,0.0,0.0,0.0,0.0,6000.0,8100.0,500.0,500.0,2600.0,0.0,Technology Mid-Type Unknown,United States,kW,DOE Global Energy Storage Database,Cumulative total capacity,National,US
