ID,2012,2013,2014,2018,2019,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_PL,1,1,1,1,2,2,1,Poland,National,PL,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
