ID,2018,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Total Capacity_ID,1040000,Pumped hydro storage,Indonesia,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,ID
