ID,2013,2014,2018,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_AZ,1,1,1,Azerbaijan,National,AZ,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
