ID,    Mine production,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Copper|Mining_Annual production_BG,Mine: Total,32900.0,47200.0,47400.0,60400.0,73900.0,76000.0,89000.0,93000.0,88000.0,96000.0,92000.0,88000.0,92800.0,91700.0,94000.0,95000.0,110000.0,110000.0,105000.0,105000.0,105000.0,105000.0,Bulgaria,BG,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_MM,Mine: Concentrates ,4630.0,4590.0,3730.0,3580.0,5030.0,5280.0,4840.0,2930.0,,97.0,100.0,,,,,,,,,,,,Burma,MM,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_MM,"Mine: Leaching, electrowon  ",,,,,,,,,6700.0,26700.0,26700.0,,,,,,,,,,,,Burma,MM,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_MM,Mine: Total,4630.0,4590.0,3730.0,3580.0,5030.0,5280.0,4840.0,2930.0,6700.0,26800.0,26800.0,25800.0,27500.0,27900.0,31800.0,34500.0,19500.0,13900.0,,3500.0,12000.0,12000.0,Burma,MM,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CA,Mine: Concentrates ,790000.0,808000.0,766000.0,730000.0,615000.0,724000.0,686000.0,657000.0,704000.0,620000.0,634000.0,634000.0,603000.0,557000.0,563000.0,595000.0,603000.0,595000.0,605000.0,494000.0,522000.0,565000.0,Canada,CA,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CA,"Mine: Leaching, electrowon  ",3700.0,3300.0,3100.0,2700.0,2300.0,2600.0,2500.0,2700.0,1800.0,,,,,,,,,1500.0,1600.0,800.0,3000.0,1000.0,Canada,CA,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CA,Mine: Total,794000.0,811000.0,769000.0,733000.0,617000.0,726000.0,688000.0,660000.0,706000.0,620000.0,634000.0,634000.0,603000.0,557000.0,563000.0,595000.0,603000.0,596000.0,607000.0,495000.0,525000.0,566000.0,Canada,CA,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CL,Mine: Concentrates ,1590000.0,1810000.0,1930000.0,1900000.0,2020000.0,2120000.0,2480000.0,2510000.0,2580000.0,3030000.0,3230000.0,3200000.0,2980000.0,3250000.0,3780000.0,3740000.0,3670000.0,3720000.0,3360000.0,3280000.0,3330000.0,3240000.0,Chile,CL,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CL,"Mine: Leaching, electrowon  ",,,,155000.0,201000.0,373000.0,636000.0,881000.0,1110000.0,1360000.0,1370000.0,1540000.0,1600000.0,1650000.0,1640000.0,1580000.0,1690000.0,1830000.0,1970000.0,2120000.0,2090000.0,2020000.0,Chile,CL,National,USGS,Metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CL,Mine: Total,1590000.0,1810000.0,1930000.0,2060000.0,2220000.0,2490000.0,3120000.0,3390000.0,3690000.0,4390000.0,4600000.0,4740000.0,4580000.0,4900000.0,5410000.0,5320000.0,5360000.0,5560000.0,5330000.0,5390000.0,5420000.0,5260000.0,Chile,CL,National,USGS,Metric tons,Annual production,Copper|Mining
