ID,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flow Battery Storage_Cumulative Rated Power_AT,64.0,Flow Battery Storage,Austria,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,AT
Flow Battery Storage_Cumulative Rated Capacity_AT,181.12,Flow Battery Storage,Austria,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,AT
