ID,2017,2018,2019,2020,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Total Number_FI,1,4,2,2,8,4,Finland,National,FI,UNOOSA,Total Number,-,Space Launches
