ID,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_AI,500,Lithium-Ion Battery Storage,Anguilla,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,AI
Lithium-Ion Battery Storage_Cumulative Rated Capacity_AI,500,Lithium-Ion Battery Storage,Anguilla,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,AI
