ID,2014,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Flywheel battery storage_Cumulative Total Capacity_FR,100,100,Flywheel battery storage,France,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,FR
