ID,2016,2017,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Compressed air energy storage_Cumulative Total Capacity_CN,100,60100,Compressed air energy storage,China,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,CN
