ID,1999,2003,2008,2013,2014,2015,2016,2018,2019,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_DK,1,2,1,2,1,1,1,2,1,Denmark,National,DK,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
