ID,1985,1995,2001,2006,2011,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_KR,600000,1200000,1900000,3500000,4700000,Pumped Hydro Storage,South Korea,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,KR
Pumped Hydro Storage_Cumulative Rated Capacity_KR,600000,1200000,1900000,3500000,4700000,Pumped Hydro Storage,South Korea,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,KR
