ID,1949,1960,1964,1965,1966,1968,1971,1973,1975,1978,1980,1981,1985,1991,2005,2011,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Total Capacity_IT,156000,236000,373200,409700,524700,566700,776700,2344700,2674700,2914700,3048700,4232700,5232700,6832700,6990700,7562700,Pumped hydro storage,Italy,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,IT
