ID,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Polystyrene_Price_World,0.54,0.55,0.52,0.45,0.41,0.335,0.395,0.425,0.415,0.41,0.4,0.395,0.365,0.335,0.295,0.28,0.24,0.245,0.2,0.195,0.17,0.155,0.15,0.157,0.145,0.128,PCDB,Price,Polystyrene,Global,World,World,1958 USD/lb
Polystyrene_Annual production_World,,11.0,23.0,73.0,102.0,140.0,190.0,240.0,250.0,250.0,250.0,225.0,300.0,375.0,300.0,225.0,475.0,275.0,375.0,450.0,600.0,550.0,800.0,800.0,900.0,1500.0,PCDB,Annual production,Polystyrene,Global,World,World,million pounds
