Country Code,Country Name,Technology Name,Unit,Data Source,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AR,Argentina,Lithium production,Thousand tonnes,BP,0.008,0.008,0.008,1.13,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.9460000000000001,0.96,1.97,1.98,2.9,3.0,3.1699999999999995,2.2199999999999998,2.9499999999999997,2.9499999999999997,2.6999999999999997,2.5,3.1999999999999997,3.6,5.8,5.699999999999999,6.3999999999999995,6.3,5.8999999999999995,5.96691230120863
AU,Australia,Lithium production,Thousand tonnes,BP,2.2334814453125,3.8821357421875,1.5766063232421874,1.1799951171875,1.5057012939453125,1.8256938476562499,2.2257890624999996,2.204216552734375,3.5,3.3014052734375,4.83946533203125,6.19028466796875,6.8362900390625,6.67600146484375,5.504116699218749,8.465378906249999,11.700000000000001,12.7,10.117349609375,12.374939453124998,11.92899609375,14.0,21.3,57.0,45.0,40.0,55.41561712846348
BR,Brazil,Lithium production,Thousand tonnes,BP,0.032,0.032,0.032,0.032,0.032,0.03,0.21999999999999997,0.224,0.24,0.242,0.242,0.242,0.18,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.31999999999999995,0.15,0.39999999999999997,0.15999999999999998,0.14769797188755016,0.22493218206157964,0.2694638487282463,1.0475033467202142,2.17165327978581,1.42,1.5
CL,Chile,Lithium production,Thousand tonnes,BP,2.0,2.663667724609375,4.55453369140625,5.46264892578125,5.7051552734375,6.737876953124999,5.88336181640625,6.620096679687499,7.8270126953125,8.3406884765625,8.2059982897628,8.877118868668898,10.320197265172109,9.818883811622198,5.117530095088844,8.879804360012976,11.890828025477708,12.325487771315542,10.505052474571285,10.834172430528078,9.809592175090131,13.595975838876805,14.23359886662305,16.974503620605486,19.24128724083169,21.630357105771477,26.0
CN,China,Lithium production,Thousand tonnes,BP,0.31999999999999995,2.8,2.9,3.0,2.3,2.4,2.4,2.4,2.5,2.63,2.82,2.82,3.01,3.29,3.76,3.9499999999999997,4.14,4.5,4.7,2.3,2.0,2.3,6.8,7.1,10.799999999999999,13.299999999999999,13.999999999999998
PT,Portugal,Lithium production,Thousand tonnes,BP,0.15999999999999998,0.15999999999999998,0.18,0.15999999999999998,0.22293,0.14028000000000002,0.17356499999999997,0.24487499999999998,0.36909,0.43044,0.39277499999999993,0.42745932,0.5213200499999999,0.5233165499999999,0.56038395,0.601635,0.5630118,0.31046999999999997,0.2991018,0.261885,0.25679928,0.38637,0.7611491999999999,1.15227375,0.89867805,0.347775,0.9
US,US,Lithium production,Thousand tonnes,BP,3.4999999999999996,4.0,4.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,0.87,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
ZW,Zimbabwe,Lithium production,Thousand tonnes,BP,0.5199999999999999,0.5,0.7,1.0,0.7,0.74,0.7,0.6399999999999999,0.48,0.24,0.25999999999999995,0.6,0.3,0.5,0.39999999999999997,0.47,0.47,1.06,1.0,0.9,0.9,1.0,0.7999999999999999,1.5999999999999999,1.2,0.417,1.2
