ID,1976,1977,1983,1984,1987,1990,1992,1996,1997,1999,2000,2005,2007,2012,2015,2016,2017,2018,2019,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_ID,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,Indonesia,National,ID,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
