ID,1997,1998,2005,2008,2009,2010,2013,2014,2015,2017,2021,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_NO,1,1,1,1,1,1,1,1,1,4,1,2,Norway,National,NO,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
