ID,1999,2004,2006,2017,2019,2021,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Total Number_TW,1,1,6,1,6,2,Taiwan,National,TW,UNOOSA,Total Number,-,Space Launches
