ID,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sensible heat storage_Cumulative Total Capacity_AE,100,Sensible heat storage,United Arab Emirates,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,AE
