ID,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Benzene_Price_World,0.434,0.464,0.458,0.407,0.383,0.359,0.33,0.286,0.3,0.306,0.232,0.215,0.202,0.216,0.211,0.205,0.199,PCDB,Price,Benzene,Global,World,World,1958 USD
Benzene_Annual production_World,,0.261,0.25,0.288,0.301,0.31,0.271,0.339,0.456,0.543,0.541,0.648,0.731,0.827,0.955,0.963,0.957,PCDB,Annual production,Benzene,Global,World,World,million gallons
