ID,1992,1998,2003,2005,2010,2011,2012,2013,2014,2015,2016,Technology Name,Country Name,Country Code,Spatial Scale,Unit,Metric,Data Source
Computer_Share of households_US,20.7,42.0,63.1,67.1,75.2,76.7,78.9,83.8,85.1,86.8,89.3,Home computers,United States,US,National,Percentage,Share of households,OWD
