ID,2020,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_SI,2,1,Slovenia,National,SI,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
