ID,2012,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sensible heat storage_Cumulative Total Capacity_IN,175,125175,Sensible heat storage,India,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,IN
