ID,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Ethylene_Price_World,0.053,0.052,0.052,0.051,0.048,0.047,0.046,0.045,0.045,0.047,0.047,0.043,0.036,0.036,0.034,0.026,PCDB,Price,Ethylene,Global,World,World,1958 USD
Ethylene_Annual production_World,,2.3,3.0,3.6,3.9,4.1,5.1,5.23,5.87,6.3,7.5,8.6,9.4,11.2,11.8,12.6,PCDB,Annual production,Ethylene,Global,World,World,billion pounds
