ID,2014,2015,2016,2017,2018,2021,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_not found,2,6,6,4,4,2,European Union,National,not found,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
