ID,Refinery production,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Copper|Refining_Annual production_BR,Refinery: Primary electrowon,,,,,,,,,,,,,,,,,,900.0,3800.0,6500.0,7400.0,4300.0,Brazil,BR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_BR,Refinery: Primary other,152000.0,141000.0,158000.0,161000.0,170000.0,165000.0,172000.0,177000.0,167000.0,193000.0,185000.0,212000.0,190000.0,173000.0,208000.0,199000.0,193000.0,178000.0,191000.0,194000.0,178000.0,174000.0,Brazil,BR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_BR,Refinery: Primary total,152000.0,141000.0,158000.0,161000.0,170000.0,165000.0,172000.0,177000.0,167000.0,193000.0,185000.0,212000.0,190000.0,173000.0,208000.0,199000.0,193000.0,179000.0,195000.0,200000.0,185000.0,178000.0,Brazil,BR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_BR,Refinery: Secondary total,49600.0,,,,,,,,,,,,,,,,27000.0,40000.0,39000.0,31000.0,47700.0,50400.0,Brazil,BR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_BR,Refinery: Total,202000.0,141000.0,158000.0,161000.0,170000.0,165000.0,172000.0,177000.0,167000.0,193000.0,185000.0,212000.0,190000.0,173000.0,208000.0,199000.0,220000.0,219000.0,234000.0,231000.0,233000.0,228000.0,Brazil,BR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_BG,Refinery: Primary other,14300.0,7850.0,13000.0,24300.0,21500.0,25700.0,17300.0,29500.0,31400.0,16000.0,27500.0,29400.0,38000.0,43000.0,52300.0,60500.0,60700.0,64400.0,114000.0,184000.0,195000.0,202000.0,Bulgaria,BG,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_BG,Refinery: Primary total,14300.0,7850.0,13000.0,24300.0,21500.0,25700.0,17300.0,29500.0,31400.0,16000.0,27500.0,29400.0,38000.0,43000.0,52300.0,60500.0,60700.0,64400.0,114000.0,184000.0,195000.0,202000.0,Bulgaria,BG,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_BG,Refinery: Secondary total,10000.0,5000.0,5000.0,2000.0,5000.0,3330.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3000.0,2000.0,3000.0,3000.0,4800.0,5700.0,12600.0,13200.0,19600.0,25000.0,Bulgaria,BG,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_BG,Refinery: Total,24300.0,12800.0,18000.0,26300.0,26500.0,29100.0,22300.0,34500.0,36400.0,21000.0,32500.0,34400.0,41000.0,45000.0,55300.0,63500.0,65500.0,70100.0,127000.0,197000.0,215000.0,227000.0,Bulgaria,BG,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_MM,Refinery: Primary electrowon,,,,,,,,,6700.0,26700.0,26700.0,25800.0,27500.0,27900.0,31800.0,34500.0,19500.0,13900.0,,3500.0,12000.0,12000.0,Burma,MM,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_MM,Refinery: Primary total,,,,,,,,,6700.0,26700.0,26700.0,25800.0,27500.0,27900.0,31800.0,34500.0,19500.0,13900.0,,3500.0,12000.0,12000.0,Burma,MM,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_MM,Refinery: Total,,,,,,,,,6700.0,26700.0,26700.0,25800.0,27500.0,27900.0,31800.0,34500.0,19500.0,13900.0,,3500.0,12000.0,12000.0,Burma,MM,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CA,Refinery: Primary electrowon,,,,2700.0,2300.0,2600.0,2500.0,2700.0,1800.0,,,,,,,,,1500.0,1600.0,800.0,3200.0,1000.0,Canada,CA,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CA,Refinery: Primary other,468000.0,512000.0,502000.0,519000.0,502000.0,479000.0,475000.0,458000.0,490000.0,476000.0,490000.0,525000.0,470000.0,428000.0,496000.0,484000.0,465000.0,406000.0,398000.0,304000.0,284000.0,247000.0,Canada,CA,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CA,Refinery: Primary total,468000.0,512000.0,502000.0,521000.0,505000.0,482000.0,478000.0,461000.0,492000.0,476000.0,490000.0,525000.0,470000.0,428000.0,496000.0,484000.0,465000.0,407000.0,400000.0,305000.0,287000.0,248000.0,Canada,CA,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CA,Refinery: Secondary total,47400.0,26800.0,37400.0,40400.0,45400.0,90900.0,81700.0,99300.0,72600.0,72500.0,61300.0,42800.0,24800.0,26800.0,30000.0,31000.0,36000.0,46000.0,42000.0,30600.0,32000.0,25800.0,Canada,CA,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CA,Refinery: Total,516000.0,538000.0,539000.0,562000.0,550000.0,573000.0,559000.0,560000.0,564000.0,549000.0,551000.0,568000.0,495000.0,455000.0,526000.0,515000.0,501000.0,453000.0,442000.0,336000.0,319000.0,274000.0,Canada,CA,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CL,Refinery: Primary electrowon,,,,,201000.0,373000.0,636000.0,881000.0,1110000.0,1360000.0,1370000.0,1540000.0,1600000.0,1650000.0,1640000.0,1580000.0,1690000.0,1830000.0,1970000.0,2120000.0,2090000.0,2020000.0,Chile,CL,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CL,Refinery: Primary other,1190000.0,1230000.0,1240000.0,1270000.0,1080000.0,1120000.0,1110000.0,1240000.0,1230000.0,1300000.0,1300000.0,1340000.0,1250000.0,1250000.0,1200000.0,1240000.0,1120000.0,1100000.0,1090000.0,1160000.0,1160000.0,1070000.0,Chile,CL,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CL,Refinery: Primary total,1190000.0,1230000.0,1240000.0,1270000.0,1280000.0,1490000.0,1750000.0,2120000.0,2330000.0,2670000.0,2670000.0,2880000.0,2850000.0,2900000.0,2840000.0,2820000.0,2810000.0,2940000.0,3060000.0,3280000.0,3240000.0,3090000.0,Chile,CL,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CL,Refinery: Total,1190000.0,1230000.0,1240000.0,1270000.0,1280000.0,1490000.0,1750000.0,2120000.0,2330000.0,2670000.0,2670000.0,2880000.0,2850000.0,2900000.0,2840000.0,2820000.0,2810000.0,2940000.0,3060000.0,3280000.0,3240000.0,3090000.0,Chile,CL,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CN,Refinery: Primary electrowon,,,,,,,,,18000.0,13000.0,20800.0,18000.0,20000.0,10000.0,10000.0,15000.0,20000.0,18200.0,16600.0,17000.0,24000.0,30000.0,China,CN,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CN,Refinery: Primary other,400000.0,400000.0,430000.0,485000.0,482000.0,612000.0,692000.0,801000.0,852000.0,823000.0,1000000.0,1200000.0,1280000.0,1420000.0,1580000.0,1850000.0,2000000.0,2280000.0,2680000.0,2750000.0,2950000.0,3390000.0,China,CN,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CN,Refinery: Primary total,400000.0,400000.0,430000.0,485000.0,482000.0,612000.0,692000.0,801000.0,870000.0,836000.0,1020000.0,1220000.0,1300000.0,1430000.0,1590000.0,1870000.0,2020000.0,2300000.0,2700000.0,2770000.0,2970000.0,3420000.0,China,CN,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CN,Refinery: Secondary total,160000.0,160000.0,229000.0,245000.0,254000.0,467000.0,428000.0,379000.0,341000.0,338000.0,347000.0,300000.0,350000.0,430000.0,620000.0,750000.0,1000000.0,1200000.0,1200000.0,1400000.0,1700000.0,1850000.0,China,CN,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CN,Refinery: Total,560000.0,560000.0,659000.0,730000.0,736000.0,1080000.0,1120000.0,1180000.0,1210000.0,1170000.0,1370000.0,1520000.0,1650000.0,1860000.0,2210000.0,2620000.0,3020000.0,3500000.0,3900000.0,4170000.0,4670000.0,5270000.0,China,CN,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CD,Refinery: Primary electrowon,,,,,,,,,,,,,,,,,,6700.0,38600.0,167000.0,262000.0,355000.0,Congo (Kinshasa),CD,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CD,Refinery: Primary other,141000.0,104000.0,47500.0,34100.0,29000.0,33000.0,40100.0,37700.0,38200.0,31200.0,,,,,,,,,,,,,Congo (Kinshasa),CD,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CD,Refinery: Primary total,141000.0,104000.0,47500.0,34100.0,29000.0,33000.0,40100.0,37700.0,38200.0,31200.0,,,,,,,,6700.0,38600.0,167000.0,262000.0,355000.0,Congo (Kinshasa),CD,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CD,Refinery: Total,141000.0,104000.0,47500.0,34100.0,29000.0,33000.0,40100.0,37700.0,38200.0,31200.0,,,,,,,,6700.0,38600.0,167000.0,262000.0,355000.0,Congo (Kinshasa),CD,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CY,Refinery: Primary electrowon,,,,,,,1500.0,4440.0,4940.0,5000.0,5200.0,5180.0,3700.0,2550.0,1240.0,,1000.0,2900.0,2990.0,2380.0,2400.0,2400.0,Cyprus,CY,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CY,Refinery: Primary total,,,,,,,1500.0,4440.0,4940.0,5000.0,5200.0,5180.0,3700.0,2550.0,1240.0,,1000.0,2900.0,2990.0,2380.0,2400.0,2400.0,Cyprus,CY,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CY,Refinery: Total,,,,,,,1500.0,4440.0,4940.0,5000.0,5200.0,5180.0,3700.0,2550.0,1240.0,,1000.0,2900.0,2990.0,2380.0,2400.0,2400.0,Cyprus,CY,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CZ,Refinery: Primary other,,,,500.0,,,,,,,,,,,,,,,,,,,Czech Republic,CZ,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CZ,Refinery: Primary total,,,,500.0,,,,,,,,,,,,,,,,,,,Czech Republic,CZ,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CZ,Refinery: Total,,,,500.0,,,,,,,,,,,,,,,,,,,Czech Republic,CZ,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CSK,Refinery: Primary other,8000.0,10000.0,8000.0,,,,,,,,,,,,,,,,,,,,Czechoslovakia,CSK,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CSK,Refinery: Primary total,8000.0,10000.0,8000.0,,,,,,,,,,,,,,,,,,,,Czechoslovakia,CSK,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CSK,Refinery: Secondary total,17400.0,15900.0,20600.0,,,,,,,,,,,,,,,,,,,,Czechoslovakia,CSK,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_CSK,Refinery: Total,25400.0,25900.0,28600.0,,,,,,,,,,,,,,,,,,,,Czechoslovakia,CSK,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_EG,Refinery: Secondary total,3600.0,3600.0,4000.0,4600.0,4300.0,4400.0,4600.0,5000.0,6000.0,6000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,1720.0,2660.0,2840.0,3000.0,3000.0,3000.0,Egypt,EG,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_EG,Refinery: Total,3600.0,3600.0,4000.0,4600.0,4300.0,4400.0,4600.0,5000.0,6000.0,6000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,1720.0,2660.0,2840.0,3000.0,3000.0,3000.0,Egypt,EG,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_FI,Refinery: Primary other,63100.0,61500.0,65900.0,67700.0,58400.0,63700.0,101000.0,100000.0,108000.0,100000.0,100000.0,105000.0,112000.0,120000.0,116000.0,109000.0,121000.0,101000.0,128000.0,95500.0,109000.0,108000.0,Finland,FI,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_FI,Refinery: Primary total,63100.0,61500.0,65900.0,67700.0,58400.0,63700.0,101000.0,100000.0,108000.0,100000.0,100000.0,105000.0,112000.0,120000.0,116000.0,109000.0,121000.0,101000.0,128000.0,95500.0,109000.0,108000.0,Finland,FI,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_FI,Refinery: Secondary total,2000.0,3000.0,5000.0,6000.0,10800.0,10000.0,10000.0,16000.0,15000.0,15000.0,14000.0,15000.0,15000.0,15000.0,16000.0,16000.0,16000.0,10000.0,10000.0,10000.0,4000.0,9000.0,Finland,FI,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_FI,Refinery: Total,65100.0,64500.0,70900.0,73700.0,69200.0,73700.0,111000.0,116000.0,123000.0,115000.0,114000.0,120000.0,127000.0,135000.0,132000.0,125000.0,137000.0,111000.0,138000.0,106000.0,113000.0,117000.0,Finland,FI,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_FR,Refinery: Primary other,18000.0,15600.0,16600.0,18400.0,16600.0,4200.0,10500.0,,,,,,,,,,,,,,,,France,FR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_FR,Refinery: Primary total,18000.0,15600.0,16600.0,18400.0,16600.0,4200.0,10500.0,,,,,,,,,,,,,,,,France,FR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_FR,Refinery: Secondary total,26000.0,28000.0,26200.0,26000.0,25200.0,38300.0,28600.0,35600.0,22400.0,1800.0,1500.0,,,,,,,,,,,,France,FR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_FR,Refinery: Total,44000.0,43600.0,42800.0,44400.0,41800.0,42500.0,39100.0,35600.0,22400.0,1800.0,1500.0,,,,,,,,,,,,France,FR,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_DE,Refinery: Primary other,244000.0,203000.0,236000.0,271000.0,253000.0,247000.0,316000.0,298000.0,275000.0,242000.0,245000.0,303000.0,327000.0,287000.0,284000.0,294000.0,312000.0,302000.0,300000.0,290000.0,402000.0,401000.0,Germany,DE,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_DE,Refinery: Primary total,244000.0,203000.0,236000.0,271000.0,253000.0,247000.0,316000.0,298000.0,275000.0,242000.0,245000.0,303000.0,327000.0,287000.0,284000.0,294000.0,312000.0,302000.0,300000.0,290000.0,402000.0,401000.0,Germany,DE,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_DE,Refinery: Secondary total,289000.0,318000.0,345000.0,361000.0,339000.0,369000.0,355000.0,376000.0,421000.0,454000.0,464000.0,391000.0,369000.0,311000.0,369000.0,344000.0,350000.0,364000.0,389000.0,379000.0,302000.0,308000.0,Germany,DE,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_DE,Refinery: Total,533000.0,522000.0,582000.0,632000.0,592000.0,616000.0,671000.0,674000.0,696000.0,696000.0,709000.0,694000.0,696000.0,598000.0,653000.0,638000.0,662000.0,666000.0,690000.0,669000.0,704000.0,709000.0,Germany,DE,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_HU,Refinery: Secondary total,12800.0,12000.0,12000.0,11000.0,11000.0,11000.0,11000.0,12000.0,12000.0,12000.0,12000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,,,,,Hungary,HU,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_HU,Refinery: Total,12800.0,12000.0,12000.0,11000.0,11000.0,11000.0,11000.0,12000.0,12000.0,12000.0,12000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,,,,,Hungary,HU,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IN,Refinery: Primary other,41600.0,38600.0,38300.0,30100.0,40100.0,33900.0,29100.0,30200.0,100000.0,200000.0,234000.0,310000.0,354000.0,375000.0,399000.0,477000.0,614000.0,699000.0,654000.0,705000.0,655000.0,671000.0,India,IN,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IN,Refinery: Primary total,41600.0,38600.0,38300.0,30100.0,40100.0,33900.0,29100.0,30200.0,100000.0,200000.0,234000.0,310000.0,354000.0,375000.0,399000.0,477000.0,614000.0,699000.0,654000.0,705000.0,655000.0,671000.0,India,IN,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IN,Refinery: Secondary total,,8600.0,8500.0,6700.0,8900.0,5700.0,10200.0,6000.0,7000.0,8000.0,9000.0,18000.0,20000.0,19000.0,20000.0,20000.0,15000.0,15000.0,15000.0,10000.0,9000.0,2000.0,India,IN,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_IN,Refinery: Total,41600.0,47200.0,46800.0,36800.0,49000.0,39600.0,39300.0,36200.0,107000.0,208000.0,243000.0,328000.0,374000.0,394000.0,419000.0,497000.0,629000.0,714000.0,669000.0,715000.0,664000.0,673000.0,India,IN,National,USGS,Metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_ID,Refinery: Primary other,,,,,,,,,,90800.0,158000.0,213000.0,192000.0,223000.0,211000.0,263000.0,218000.0,277000.0,254000.0,289000.0,278000.0,257000.0,Indonesia,ID,National,USGS,Metric tons,Annual production,Copper|Refining
