ID,1968,1973,1991,1992,1997,2000,2002,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_CN,41000,63000,483000,485000,1455000,5841000,5943000,7863000,10087000,11087000,14567000,17567000,23715000,24915000,26275000,27499000,30199000,Pumped Hydro Storage,China,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,CN
Pumped Hydro Storage_Cumulative Rated Capacity_CN,41000,63000,483000,485000,1455000,5841000,5943000,7863000,10087000,11087000,14567000,17567000,23715000,24915000,26275000,27499000,30199000,Pumped Hydro Storage,China,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,CN
