ID,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,Data Source,Metric,Technology Name,Spatial Scale,Country Name,Country Code,Unit
Pentaerythritol_Price_World,38.55902778,38.34733258,36.56320542,35.52295633,35.02380952,32.32087227,29.93013556,30.37151703,30.21267894,29.17142857,26.2395087,24.41658137,24.81211499,22.53549696,23.2202381,21.8765792,21.25865385,21.667295,20.74412297,18.06534824,14.05108878,PCDB,Price,Pentaerythritol,Global,World,World,Price (1966 USD/lbs)
Pentaerythritol_Annual production_World,40.9,56.3,53.7,61.2,57.1,56.5,53.3,64.1,64.3,62.4,62.0,69.2,69.3,69.3,80.8,85.7,92.4,92.0,85.2,88.1,110.1,PCDB,Annual production,Pentaerythritol,Global,World,World,Yearly Production (Mil. lbs)
