ID,1955,1964,1966,1969,1970,1971,1973,1975,1977,1978,1982,1985,1986,2013,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Total Capacity_ES,3600,318600,464600,553100,1363100,1453100,1668100,1896100,2256100,2389100,2914100,3601200,4740200,6740200,7765500,Pumped hydro storage,Spain,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,ES
