ID,2013,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-ion battery storage_Cumulative Total Capacity_HU,500,Lithium-ion battery storage,Hungary,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,HU
