ID,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1978,1980,1981,1982,1983,1984,1985,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,2008,2011,2012,2014,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_not found,1,1,3,1,3,3,2,2,1,1,2,1,2,1,1,2,2,2,3,1,2,2,2,1,1,2,3,2,4,2,1,1,1,1,Intelsat,National,not found,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
