ID,1900,1908,1911,1919,1928,1939,1940,1941,1943,1946,1948,1949,1949,1951,1953,1953,1954,1955,1955,1958,1958,1960,1960,1961,1962,1964,1965,1965,1966,1968,1973,1973,1975,1976,1977,1977,1979,1980,1982,1982,1983,1984,1986,1987,1993,1996,1998,Data Source,Country Name,Country Code,Spatial Scale,Metric,Technology Name,Unit
Computing Growth_Cumulative Total Capacity_World,5.821e-06,0.0001299,5.787e-05,0.001064,0.0006993,0.008547,0.01431,0.0463,5.308,0.7981,0.3698,1.837,1.044,1.43,6.104,11.88,0.3669,16.45,3.438,0.3257,0.9144,1.514,151.5,282.5,29.43,158.6,482.6,1792.0,49.72,213.6,728.6,3401.0,10580.0,777.0,3720.0,26870.0,1114.0,5621.0,126600.0,126600.0,86280.0,85030.0,538200.0,232600.0,3549000.0,48080000.0,133300000.0,Kurzweil,World,World,Global,Cumulative Total Capacity,Computing Growth,"Calculations per second per $1,000"
