ID,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Hydrogen Storage_Cumulative Rated Power_TH,300,Hydrogen Storage,Thailand,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,TH
Hydrogen Storage_Cumulative Rated Capacity_TH,300,Hydrogen Storage,Thailand,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,TH
