ID,1954,1956,1961,1963,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1977,1978,1979,1981,1984,1985,1987,1991,1994,1995,2007,2010,2012,2013,2014,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped hydro storage_Cumulative Total Capacity_US,8500,193500,433500,873500,1273500,2903500,4046500,4470500,4590500,5030500,5340500,6584500,11912700,12512700,12762700,14925900,15133900,15333900,16603900,20206900,20406700,21471700,21516700,22611700,23111700,24111700,24451700,24601700,28701700,29601700,Pumped hydro storage,United States,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,US
