ID,2011,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_SE,75.0,Lithium-Ion Battery Storage,Sweden,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,SE
Lithium-Ion Battery Storage_Cumulative Rated Capacity_SE,75.0,Lithium-Ion Battery Storage,Sweden,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,SE
