ID,1966,1973,1977,1984,2019,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Pumped Hydro Storage_Cumulative Rated Power_AU,1700,1501700,2041700,2541700,2791700,Pumped Hydro Storage,Australia,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,AU
Pumped Hydro Storage_Cumulative Rated Capacity_AU,1700,1501700,2041700,2541700,2791700,Pumped Hydro Storage,Australia,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,AU
