ID,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Technology Name,Data Source,Country Name,Country Code,Spatial Scale,Unit,Metric
Sand and Gravel|Construction_Annual production_US,452000.0,747000.0,5280000.0,16400000.0,24400000.0,32100000.0,30000000.0,49000000.0,56900000.0,53700000.0,53800000.0,65100000.0,65500000.0,61800000.0,71800000.0,60400000.0,47000000.0,56300000.0,64800000.0,67300000.0,78100000.0,117000000.0,132000000.0,145000000.0,155000000.0,169000000.0,179000000.0,190000000.0,171000000.0,134000000.0,105000000.0,93000000.0,100000000.0,106000000.0,153000000.0,162000000.0,159000000.0,197000000.0,207000000.0,249000000.0,262000000.0,197000000.0,161000000.0,163000000.0,216000000.0,245000000.0,274000000.0,277000000.0,320000000.0,346000000.0,379000000.0,383000000.0,490000000.0,519000000.0,548000000.0,556000000.0,607000000.0,645000000.0,627000000.0,666000000.0,686000000.0,726000000.0,767000000.0,801000000.0,824000000.0,800000000.0,808000000.0,824000000.0,830000000.0,811000000.0,803000000.0,866000000.0,803000000.0,691000000.0,776000000.0,815000000.0,874000000.0,858000000.0,692000000.0,626000000.0,539000000.0,594000000.0,702000000.0,726000000.0,801000000.0,813000000.0,838000000.0,814000000.0,829000000.0,708000000.0,834000000.0,869000000.0,891000000.0,907000000.0,914000000.0,952000000.0,1070000000.0,1110000000.0,1120000000.0,1130000000.0,1130000000.0,1160000000.0,1240000000.0,1280000000.0,1340000000.0,1250000000.0,1060000000.0,839000000.0,807000000.0,806000000.0,815000000.0,823000000.0,829000000.0,880000000.0,885000000.0,889000000.0,909000000.0,918000000.0,Sand and Gravel|Construction,USGS,United States,US,National,Metric tons,Annual production
Sand and Gravel|Construction_Price_World,13.3,14.5,8.5,8.14,6.33,5.41,6.15,5.42,5.06,5.24,5.56,4.77,4.71,4.82,4.78,5.34,5.84,5.84,6.18,6.65,6.61,6.21,6.1,6.05,5.81,5.73,5.52,5.9,6.05,6.42,6.09,6.42,6.58,5.94,6.12,5.9,5.79,5.75,5.47,5.76,6.41,6.22,5.84,5.98,5.68,5.62,5.55,5.47,5.55,5.34,5.16,5.3,5.7,5.72,5.88,5.68,5.64,5.82,5.83,5.67,5.71,5.7,5.62,5.63,5.47,5.47,5.39,5.25,5.12,5.23,5.3,5.28,5.32,5.21,5.93,6.0,5.87,5.62,5.72,5.52,5.25,5.24,5.02,5.09,5.1,5.29,5.15,5.25,4.89,4.74,4.66,4.58,4.62,4.6,4.55,4.54,4.59,4.63,4.55,4.62,4.61,4.57,4.59,4.89,5.231241914618369,5.55,5.63,5.71,5.46,5.428501556247221,5.437418003907015,5.43,5.53412500473529,5.697833004041559,5.705,5.876399542866008,5.926682596575071,6.011302307391475,Sand and Gravel|Construction,USGS,World,World,Global,1998 USD/metric ton,Price
Sand and Gravel|Construction_Annual production_World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6090000000.0,6640000000.0,6700000000.0,6690000000.0,7860000000.0,,6880000000.0,6760000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sand and Gravel|Construction,USGS,World,World,Global,Metric tons,Annual production
