ID,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Technology Name,Data Source,Country Name,Country Code,Spatial Scale,Unit,Metric
Silver_Annual production_US,1790.0,1720.0,1730.0,1690.0,1740.0,1750.0,1780.0,1630.0,1580.0,1780.0,1790.0,1900.0,2050.0,2210.0,2170.0,2250.0,2450.0,2200.0,2120.0,1610.0,1760.0,1440.0,1900.0,2190.0,1990.0,2070.0,1940.0,1850.0,1800.0,1890.0,1480.0,929.0,712.0,725.0,1030.0,1520.0,1920.0,2240.0,1960.0,2040.0,2230.0,2090.0,1680.0,1290.0,1070.0,903.0,713.0,1110.0,1180.0,1080.0,1320.0,1240.0,1230.0,1170.0,1150.0,1160.0,1200.0,1190.0,1060.0,970.0,957.0,1080.0,1140.0,1100.0,1130.0,1240.0,1360.0,1010.0,1020.0,1300.0,1400.0,1290.0,1160.0,1170.0,1050.0,1090.0,1070.0,1190.0,1230.0,1180.0,1010.0,1270.0,1250.0,1350.0,1390.0,1230.0,1070.0,1240.0,1660.0,2010.0,2120.0,1860.0,1800.0,1640.0,1490.0,1560.0,1570.0,2180.0,2060.0,1950.0,1980.0,1740.0,1350.0,1240.0,1250.0,1230.0,1160.0,1280.0,1250.0,1250.0,1280.0,1120.0,1060.0,1050.0,1180.0,1090.0,1150.0,1030.0,934.0,Silver,USGS,United States,US,National,Metric tons,Annual production
Silver_Price_World,390000.0,380000.0,320000.0,320000.0,340000.0,360000.0,390000.0,370000.0,310000.0,300000.0,300000.0,300000.0,340000.0,323000.0,294000.0,264000.0,322000.0,344000.0,340000.0,340000.0,267000.0,184000.0,212000.0,199000.0,205000.0,207000.0,183000.0,171000.0,178000.0,162000.0,120000.0,99900.0,107000.0,141000.0,188000.0,245000.0,170000.0,164000.0,160000.0,147000.0,131000.0,125000.0,122000.0,136000.0,134000.0,152000.0,214000.0,169000.0,161000.0,159000.0,161000.0,179000.0,168000.0,167000.0,166000.0,174000.0,175000.0,170000.0,162000.0,163000.0,161000.0,162000.0,189000.0,219000.0,218000.0,215000.0,208000.0,243000.0,323000.0,255900.0,238900.0,200600.0,210500.0,301900.0,500600.0,430500.0,400500.0,399600.0,433800.0,800900.0,1312000.0,606200.0,431700.0,601900.0,410800.0,299200.0,261500.0,323300.0,289300.0,232500.0,193300.0,155400.0,147200.0,156000.0,187000.0,177100.0,173400.0,159700.0,178000.0,165000.0,152000.0,130000.0,135000.0,140000.0,186000.0,197000.0,302000.0,339000.0,365000.0,359000.0,481000.0,819000.0,710000.0,537000.0,423000.0,347000.0,376000.0,365000.0,328000.0,Silver,USGS,World,World,Global,1998 USD/metric ton,Price
Silver_Annual production_World,5400.0,5380.0,5060.0,5220.0,5110.0,5360.0,5130.0,5730.0,6320.0,6600.0,6900.0,7040.0,6980.0,7010.0,5240.0,5730.0,5250.0,5420.0,6140.0,5490.0,5390.0,5330.0,6530.0,7650.0,7450.0,7650.0,7890.0,7900.0,8020.0,8120.0,7740.0,6080.0,5130.0,5340.0,5990.0,6890.0,7920.0,8640.0,8320.0,8300.0,8570.0,8140.0,7780.0,6380.0,5740.0,5040.0,3970.0,5220.0,5440.0,5570.0,6320.0,6210.0,6700.0,6900.0,6670.0,7000.0,7020.0,7190.0,7430.0,6910.0,7320.0,7370.0,7650.0,7780.0,7730.0,8010.0,8300.0,8030.0,8560.0,9200.0,9360.0,9170.0,9380.0,9700.0,9260.0,9430.0,9840.0,10300.0,10700.0,10800.0,10700.0,11200.0,11500.0,12100.0,13100.0,13100.0,13000.0,14000.0,15500.0,16400.0,16600.0,15600.0,14900.0,14100.0,14000.0,14900.0,15100.0,16500.0,17200.0,17600.0,18100.0,18700.0,18800.0,18800.0,20000.0,20800.0,20100.0,20800.0,21300.0,22300.0,23300.0,23300.0,24300.0,26700.0,28000.0,27600.0,28200.0,27300.0,27000.0,Silver,USGS,World,World,Global,Metric tons,Annual production
