ID,2015,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Lithium-Ion Battery Storage_Cumulative Rated Power_IE,1300,Lithium-Ion Battery Storage,Ireland,kW,DOE Global Energy Storage Database,Cumulative Rated Power,National,IE
Lithium-Ion Battery Storage_Cumulative Rated Capacity_IE,1300,Lithium-Ion Battery Storage,Ireland,kWh,DOE Global Energy Storage Database,Cumulative Rated Capacity,National,IE
