ID,2017,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_MN,1,Mongolia,National,MN,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
