ID,1794,1802,1804,1819,1821,1825,1826,1827,1828,1829,1830,183 r,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1855,1859,1860,1861,Country Name,Country Code,Spatial Scale,Unit,Data Source,Technology Name,Metric
Canals_Cumulative Total Capacity_US,30.0,52.0,79.0,155.0,203.0,625.0,687.0,772.0,943.0,1029.0,1485.0,1597.0,1915.0,2085.0,2292.0,2446.0,2464.0,2632.0,2777.0,2941.0,3236.0,3236.0,3248.0,3315.0,3405.0,3405.0,3489.0,3501.0,3603.0,3639.0,3792.0,4228.0,4235.0,4246.0,4254.0,4261.0,United States,US,National,Miles,Isard,Canals,Cumulative Total Capacity
