Country Code,Country Name,Technology Name,Unit,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CA,Canada,Nuclear generation,Terawatt-hours,0.128,0.17200000000000001,0.153,0.918,0.529,1.037,4.267,7.211,15.254,14.696,12.57,17.416,26.342000000000002,31.202,35.271,38.032000000000004,40.067,38.337,48.61,52.21,60.521,71.267,77.261,82.867,79.31684210526315,72.46,84.33894736842105,80.0221052631579,93.28421052631579,107.08421052631579,97.16421052631578,92.12210526315789,81.95473684210526,70.99263157894737,72.98,72.29368421052631,76.16210526315788,75.0,74.37157894736842,89.75789473684209,91.39989052631577,97.28264631578946,92.83203263157894,95.35264736842105,89.46503052631577,90.02798736842105,92.93812210526316,94.2025147368421,102.72045368421051,106.53453368421053,101.1008347368421,100.72348631578947,100.59476,100.03115368421054,100.49395368421052,97.5125989473684,91.96022274756398
MX,Mexico,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,2.9370000000000003,4.242,3.919,4.931,4.239,8.443,7.878,10.456,9.265,10.002,8.221,8.726,9.74662112,10.50150777,9.193935355999999,10.804906040000004,10.866241089999999,10.420725020000003,9.803976279999999,10.501078900000001,5.879240639,10.089195025000002,8.769598816,11.799869612999998,9.677208057000001,11.577137865000001,10.567174251400003,10.8828617544,13.554877445000002,11.18983001,11.1779347,11.9230924
US,US,Nuclear generation,Terawatt-hours,3.849156842105263,5.810430526315789,8.058119999999999,13.18780947368421,14.660883157894737,22.952050526315787,40.11004736842105,56.93803684210526,87.87311894736843,119.97446315789473,181.5842894736842,201.16161157894737,264.0876663157895,290.9506,268.5838136842105,264.3321842105263,287.02474,297.6560505263158,309.1338094736842,344.87742,403.8849757894737,435.82954,479.2319810526315,554.7084705263159,557.2154915789473,607.2228189473684,644.8053547368421,651.3434347368421,642.4118042105264,674.1471915789474,708.84434,710.240574736842,661.7307063157895,709.1601094736842,766.5832884210525,793.5715157894736,809.2908505263157,821.1200915789474,803.9291526315789,830.0298810526315,823.1435421052631,828.6511957894737,848.8681610526315,848.6404578947369,840.8995684210527,849.4403168421052,831.7940705263156,809.8223673684209,830.5436557894736,839.1220863157894,839.1346073684209,848.0988926315789,847.3154052631579,849.562607368421,852.0097494736842,831.4514347368421,819.1068421052631
AR,Argentina,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036,2.517,2.572,1.637,2.896,2.692,2.34,2.816,1.87,3.4050000000000002,4.641,5.766,5.711,6.465,5.798,5.039,7.281000000000001,7.756,7.081,7.75,8.235,7.066,7.4590000000000005,7.961,7.453,7.106,6.1770000000000005,7.059,5.821,7.566,7.869,6.873,7.721,7.2540000000000004,7.394,8.183,7.21,6.4,6.402,6.207,5.514,7.039000000000001,8.285,6.088,6.872,8.443,10.662423955940216,10.831573947033222
BR,Brazil,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.643,3.3810000000000002,0.14400000000000002,0.973,0.608,1.83,2.237,1.442,1.7590000000000001,0.442,0.055,2.519,2.427,3.169,3.265,3.977,6.046,14.279,13.836,13.358,11.611,9.855,13.754100000000001,12.34976,13.96858,12.957,14.523155800000001,15.659375999999998,16.0384,15.44969,15.37846248,14.734152640000001,15.86434366707732,15.739196437942999,15.673887022022395,16.128824302217257,14.052598169916003,14.704587598307
CL,Chile,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colombia,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EC,Ecuador,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,Peru,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TT,Trinidad & Tobago,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VE,Venezuela,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,Austria,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,Belgium,Nuclear generation,Terawatt-hours,0.0,0.006,0.094,0.061,0.022,0.057,0.0,0.011,0.076,0.148,6.784,10.036,11.939,12.513,11.407,12.549,12.859,15.664,24.106,27.743000000000002,34.601,39.394,41.967,43.102000000000004,41.217,42.722,42.861000000000004,43.456,41.927,40.624,41.356,43.336,47.408,46.165,49.017,48.157000000000004,46.349000000000004,47.36,47.379,47.312,47.595,46.645,48.227000000000004,45.568,47.222,47.944,48.234,40.295,42.644,33.703,26.103,43.523,42.22680000000015,28.597,43.52360000000015,34.43470000000012,50.57802163752471
BG,Bulgaria,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928,2.5540000000000003,4.989,5.884,5.91,6.18,6.165,9.119,10.746,12.318,12.735,13.131,12.07,12.436,16.03,14.566,14.665000000000001,13.184000000000001,11.552,13.973,15.335,17.261,18.082,17.751,16.899,15.814,18.178,19.553,20.222,17.28,16.815,18.653,19.493000000000002,14.643,15.765,15.256,15.249,16.314,15.785,14.171222,15.866651000000001,15.379100000000001,15.775843000000002,15.545499,16.125281,16.5553,16.625765,16.482082570765098
HR,Croatia,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CY,Cyprus,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,Czech Republic,Nuclear generation,Terawatt-hours,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.239,2.3970000000000002,6.149,10.701,11.816,12.418000000000001,12.585,12.132,12.25,12.627,12.977,12.23,12.85,12.494,13.178,13.357000000000001,13.59,14.7493,18.738200000000003,25.871900000000004,26.3247,24.7276,26.0465,26.1721,26.551000000000002,27.2078,27.988200000000003,28.2826,30.3242,30.7453,30.324900000000003,26.8408,24.104200000000002,28.3396,29.9213,30.2462,30.0433,30.731180379999998
