ID,2014,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Heat thermal battery storage_Cumulative Total Capacity_MA,650,Heat thermal battery storage,Morocco,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,MA
