ID,1998,2011,2013,2014,2015,2019,2022,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Total Number_SG,1,2,1,2,6,1,3,Singapore,National,SG,UNOOSA,Total Number,-,Space Launches
