ID,2009,2010,2018,2019,2020,2021,Country Name,Spatial Scale,Country Code,Data Source,Metric,Unit,Technology Name
Space Launches_Yearly Launches_CH,1,1,1,1,1,10,Switzerland,National,CH,UNOOSA,Yearly Launches,Number of objects launched into space,Space Launches
