ID,2016,Technology Name,Country Name,Unit,Data Source,Metric,Spatial Scale,Country Code
Sensible heat storage_Cumulative Total Capacity_CN,10000,Sensible heat storage,China,kW,DOE Global Energy Storage Database,Cumulative Total Capacity,National,CN
