ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Metric,Technology Name,Country Name,Country Code,Spatial Scale,Data Source,Unit
Hydroelectricity_Total Installed Cost_World,1315.16,1295.91,1385.37,1566.34,1794.53,1578.53,1870.69,1919.64,1504.81,1786.53,1939.47,2135.03,Total Installed Cost,Hydroelectricity,World,World,Global,IRENA,2021 USD/kW
Hydroelectricity_Levelized Cost of Energy_World,0.038882708,0.03656066,0.038037654,0.042512471,0.042456635,0.036572018,0.04838911,0.050721709,0.039836743,0.041408574,0.045965871,0.048299872,Levelized Cost of Energy,Hydroelectricity,World,World,Global,IRENA,2021 USD/kWh
